what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845932453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1370845933687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845937312
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1370845938250
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1370845938359
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1370845938421
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1370845938453
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1370845938671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845942343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845942484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1370845944093
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1370845946484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845952437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845959250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1370845959281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845964515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845965218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845974187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845975203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1370845990078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845992750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845993375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370845994140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370846019234
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1370846021250
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1370846021453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1370846025015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370846032218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370846032515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370846037281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1370846037421
